City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Naze,JP,28.3667,129.4833,66.36,84,100,19.89,overcast clouds
188,Codrington,AU,-38.2667,141.9667,53.44,86,77,7.36,broken clouds
189,Taybad,IR,34.74,60.7756,80.17,21,71,4.36,broken clouds
190,Boende,CD,-0.2167,20.8667,91.9,39,35,3.15,scattered clouds
191,Iranshahr,IR,27.2025,60.6848,96.8,13,0,9.22,clear sky
192,Sinnamary,GF,5.3833,-52.95,80.58,80,61,10.38,broken clouds
193,Fraga,ES,41.5229,0.3489,66.0,45,0,8.05,clear sky
194,Khatanga,RU,71.9667,102.5,4.41,94,100,6.93,overcast clouds
195,Teguldet,RU,57.3064,88.1667,28.98,93,100,6.93,overcast clouds
196,Sola,VU,-13.8833,167.55,82.54,75,100,13.78,overcast clouds
197,Oussouye,SN,12.485,-16.5469,100.4,16,29,2.62,scattered clouds
198,Kerrville,US,30.0474,-99.1403,66.99,88,90,9.22,mist
199,Mitsamiouli,KM,-11.3847,43.2844,83.37,68,100,2.73,overcast clouds
200,Kerema,PG,-7.9631,145.7785,79.39,87,79,3.67,broken clouds
201,Sampit,ID,-2.5333,112.95,74.07,93,100,1.83,light rain
202,Kuandian,CN,40.7286,124.7847,43.02,87,100,2.93,overcast clouds
203,Husavik,IS,66.0449,-17.3389,17.6,45,0,5.75,clear sky
204,Manjacaze,MZ,-24.7117,33.8828,78.12,66,1,9.06,clear sky
205,Texarkana,US,33.4251,-94.0477,71.6,83,90,5.75,overcast clouds
206,Belmonte,BR,-15.8631,-38.8828,84.2,61,40,12.66,scattered clouds
207,Northam,GB,51.0333,-4.2167,52.0,75,97,5.01,overcast clouds
208,Airai,TL,-8.9266,125.4092,60.49,94,100,2.17,overcast clouds
209,Alice Springs,AU,-23.7,133.8833,69.8,78,40,5.75,scattered clouds
210,Shieli,KZ,44.1667,66.75,54.73,49,0,7.56,clear sky
211,Lillooet,CA,50.6856,-121.942,46.0,81,75,12.66,broken clouds
212,Jacksonville,US,30.3322,-81.6556,79.0,100,90,6.91,mist
213,Turukhansk,RU,65.8167,87.9833,15.19,95,100,6.44,overcast clouds
214,Ostrovnoy,RU,68.0531,39.5131,33.49,82,97,28.19,overcast clouds
215,Mackay,AU,-21.15,149.2,73.4,88,1,5.75,clear sky
216,Nanortalik,GL,60.1432,-45.2371,6.31,73,12,16.35,few clouds
217,Saint-Quentin,FR,49.8333,3.3333,51.8,50,75,23.02,broken clouds
218,Okhotsk,RU,59.3833,143.3,-1.59,99,98,3.13,overcast clouds
219,Cabo San Lucas,MX,22.8909,-109.9124,66.2,55,1,6.15,clear sky
220,Sayyan,YE,15.1718,44.3244,67.57,11,91,11.61,overcast clouds
221,Lavrentiya,RU,65.5833,-171.0,-15.61,90,16,4.25,few clouds
222,Tasiilaq,GL,65.6145,-37.6368,21.2,53,90,32.21,light snow
223,Mahajanga,MG,-15.7167,46.3167,86.0,70,20,9.22,few clouds
224,Kontagora,NG,10.3999,5.4695,101.43,9,3,6.35,clear sky
225,Vilyuysk,RU,63.7553,121.6247,15.08,94,98,5.14,overcast clouds
226,Bandipur,NP,27.9333,84.4167,64.15,16,0,3.13,clear sky
227,Jasper,US,37.2001,-94.3502,64.99,63,1,3.44,clear sky
228,Gat,IL,31.61,34.7642,64.0,53,8,11.21,clear sky
229,Hofn,IS,64.2539,-15.2082,24.46,69,100,15.39,overcast clouds
230,Palaikastron,GR,35.2,26.25,60.01,51,70,10.33,broken clouds
231,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,58,20,9.17,few clouds
232,Huangchuan,CN,32.1272,115.0394,60.4,75,99,5.55,overcast clouds
233,Stephenville,US,32.2207,-98.2023,66.0,82,90,5.75,overcast clouds
234,Ahipara,NZ,-35.1667,173.1667,66.24,85,100,12.08,overcast clouds
235,Avera,US,33.194,-82.5271,73.99,75,90,9.13,haze
236,Paamiut,GL,61.994,-49.6678,1.04,72,0,33.6,clear sky
237,Cockburn Town,TC,21.4612,-71.1419,82.4,65,40,13.8,scattered clouds
238,Bowling Green,US,36.9903,-86.4436,57.99,88,75,4.61,broken clouds
239,Porto Novo,BJ,6.4965,2.6036,89.6,66,40,12.66,scattered clouds
240,Afrikanda,RU,67.4429,32.7828,37.0,97,100,9.08,overcast clouds
241,Beian,NO,63.6559,9.5683,41.0,81,75,14.97,broken clouds
242,Yellowknife,CA,62.456,-114.3525,7.0,84,20,5.75,few clouds
243,Kavaratti,IN,10.5669,72.642,84.49,73,96,11.18,overcast clouds
244,Beira,MZ,-19.8436,34.8389,86.0,74,20,11.5,few clouds
245,Jimani,DO,18.4917,-71.8502,86.0,45,0,18.41,clear sky
246,Jijiga,ET,9.35,42.8,76.89,18,11,18.23,few clouds
247,San Ciro De Acosta,MX,21.6333,-99.8167,77.68,28,47,3.74,scattered clouds
248,Faya,SA,18.3851,42.4509,73.4,43,0,11.5,clear sky
249,Kaputa,ZM,-8.4689,29.6619,72.43,87,33,1.79,moderate rain
250,Beringovskiy,RU,63.05,179.3167,-14.22,99,25,4.14,scattered clouds
251,Samarai,PG,-10.6167,150.6667,83.28,79,99,13.69,overcast clouds
252,Salalah,OM,17.0151,54.0924,84.2,54,0,5.75,clear sky
253,Sangar,RU,63.9242,127.4739,15.31,95,100,5.77,overcast clouds
254,Oistins,BB,13.0667,-59.5333,84.2,54,40,21.85,scattered clouds
255,Porirua,NZ,-41.1333,174.85,64.99,76,100,7.0,light rain
256,Gazimurskiy Zavod,RU,51.5461,118.3266,29.73,93,100,10.87,light snow
257,Jiazi,CN,22.8779,116.067,72.16,86,6,5.77,clear sky
258,Kaitangata,NZ,-46.2817,169.8464,60.01,76,10,5.19,clear sky
259,Padang,ID,-0.9492,100.3543,80.6,89,40,2.3,scattered clouds
260,Yulara,AU,-25.2406,130.9889,75.2,69,99,5.75,overcast clouds
261,Rongcheng,CN,30.634,117.8517,59.94,91,95,2.24,overcast clouds
262,Poum,NC,-20.2333,164.0167,80.4,74,80,10.67,broken clouds
263,The Valley,AI,18.217,-63.0578,82.4,65,40,18.41,scattered clouds
264,Marystown,CA,47.1666,-55.1483,31.33,91,100,34.45,snow
265,Alofi,NU,-19.0595,-169.9187,78.8,94,14,6.91,light rain
266,Burnie,AU,-41.0667,145.9167,54.64,83,34,11.43,scattered clouds
267,Saskylakh,RU,71.9167,114.0833,-12.86,100,99,1.79,overcast clouds
268,Altay,CN,47.8667,88.1167,31.84,65,90,6.62,overcast clouds
269,Huarmey,PE,-10.0681,-78.1522,72.91,77,49,6.64,scattered clouds
270,Chulman,RU,56.8479,124.9104,16.7,97,100,2.82,light snow
271,San Patricio,US,28.017,-97.5169,77.0,94,90,13.8,overcast clouds
272,Chicama,PE,-7.8447,-79.1469,71.6,83,99,8.05,fog
273,Kencong,ID,-8.2833,113.3667,77.61,89,100,2.89,overcast clouds
274,Biak,ID,-0.9131,122.8766,77.05,86,100,4.54,overcast clouds
275,Luderitz,NA,-26.6481,15.1594,71.76,59,0,22.64,clear sky
276,Ballina,AU,-28.8667,153.5667,68.0,94,0,4.61,clear sky
277,Cantaura,VE,9.3057,-64.3584,84.9,45,85,10.78,overcast clouds
278,Gisborne,NZ,-38.6533,178.0042,54.0,87,47,1.99,scattered clouds
279,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,49,1,20.71,clear sky
280,Alizai,PK,33.5383,70.3462,70.74,51,58,1.05,broken clouds
281,Dwarka,IN,22.2394,68.9678,80.51,68,31,14.79,scattered clouds
282,Saint-Pierre,RE,-21.3393,55.4781,78.8,89,90,3.44,light rain
283,Ruston,US,32.5232,-92.6379,71.6,88,90,12.66,overcast clouds
284,Namibe,AO,-15.1961,12.1522,82.4,69,40,16.11,scattered clouds
285,Podporozhye,RU,60.9112,34.1706,35.82,99,100,2.66,overcast clouds
286,Lalibela,ET,12.0333,39.0333,74.61,16,91,8.05,overcast clouds
287,Fortuna,US,40.5982,-124.1573,39.2,100,1,10.36,clear sky
288,Berlevag,NO,70.8578,29.0864,38.03,88,99,23.06,overcast clouds
289,Elyria,US,41.3684,-82.1077,52.0,71,20,5.1,few clouds
290,Pangnirtung,CA,66.1451,-65.7125,-8.19,72,32,3.38,scattered clouds
291,Gigmoto,PH,13.7796,124.39,78.84,86,65,7.29,broken clouds
292,Kavieng,PG,-2.5744,150.7967,80.78,82,90,12.86,moderate rain
293,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,5.75,overcast clouds
294,Talcahuano,CL,-36.7167,-73.1167,64.4,52,0,11.5,clear sky
295,Alvorada,BR,-12.48,-49.1247,89.89,44,24,0.92,few clouds
296,Byron Bay,AU,-28.65,153.6167,68.0,94,0,4.61,clear sky
297,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,90.9,35,5,7.49,clear sky
298,Hualmay,PE,-11.0964,-77.6139,72.54,76,68,5.59,broken clouds
299,Corner Brook,CA,48.9667,-57.9484,28.4,74,90,28.77,snow
300,Brae,GB,60.3964,-1.353,44.6,61,87,14.97,overcast clouds
301,Caravelas,BR,-17.7125,-39.2481,87.93,49,0,8.77,clear sky
302,Thasra,IN,22.8,73.2167,93.2,29,0,6.91,clear sky
303,Sibolga,ID,1.7427,98.7792,76.57,93,100,4.76,overcast clouds
304,Te Anau,NZ,-45.4167,167.7167,57.85,92,100,2.08,overcast clouds
305,Manta,EC,-0.95,-80.7333,78.8,78,75,4.61,broken clouds
306,Spas,UA,48.8899,24.0629,62.6,34,0,6.71,clear sky
307,Monterey,US,36.2505,-121.2516,48.99,54,0,5.01,clear sky
308,Houma,US,29.5958,-90.7195,78.01,88,75,14.97,mist
309,Port Pirie,AU,-33.1833,138.0167,57.2,82,0,5.75,clear sky
310,Portland,US,45.5234,-122.6762,42.01,81,40,1.36,scattered clouds
311,Vanimo,PG,-2.6741,141.3028,79.75,85,98,3.31,overcast clouds
312,Tigil,RU,57.8,158.6667,-2.15,96,100,5.75,overcast clouds
313,Makakilo City,US,21.3469,-158.0858,73.4,78,1,5.75,clear sky
314,Bonavista,CA,48.6499,-53.1147,30.0,100,100,8.05,snow
315,Keetmanshoop,NA,-26.5833,18.1333,78.8,22,0,1.14,clear sky
316,Road Town,VG,18.4167,-64.6167,84.2,58,40,14.97,scattered clouds
317,Tandil,AR,-37.3217,-59.1332,61.0,89,100,3.0,light rain
318,Iqaluit,CA,63.7506,-68.5145,-18.4,76,40,3.44,scattered clouds
319,Caraballeda,VE,10.6112,-66.8522,71.01,100,20,2.3,few clouds
320,Registro,BR,-24.4875,-47.8436,93.7,43,43,1.74,scattered clouds
321,Sturlic,BA,45.0639,15.7781,55.99,69,64,4.0,broken clouds
322,Mayumba,GA,-3.432,10.6554,83.17,73,100,8.48,overcast clouds
323,Rio Gallegos,AR,-51.6226,-69.2181,60.8,55,75,13.8,broken clouds
324,Trelew,AR,-43.249,-65.3051,75.83,11,7,19.39,clear sky
325,Hurzuf,UA,44.55,34.2833,48.4,66,21,4.83,few clouds
326,Half Moon Bay,US,37.4636,-122.4286,51.8,71,1,5.75,clear sky
327,Guerrero Negro,MX,27.9769,-114.0611,57.49,70,0,5.97,clear sky
328,Tuatapere,NZ,-46.1333,167.6833,57.99,87,95,1.99,overcast clouds
329,Plettenberg Bay,ZA,-34.0527,23.3716,63.73,72,72,9.04,light rain
330,Anadyr,RU,64.75,177.4833,-7.6,77,0,6.71,clear sky
331,La Peca,PE,-5.6111,-78.435,68.92,94,99,3.33,moderate rain
332,Tahoua,NE,14.8888,5.2692,93.2,3,59,11.5,dust
333,Frontera,MX,26.9333,-101.45,82.99,42,40,3.22,scattered clouds
334,Sitka,US,57.0531,-135.33,33.8,93,90,3.44,moderate rain
335,Ponta Do Sol,PT,32.6667,-17.1,62.01,61,100,1.01,overcast clouds
336,Vardo,NO,70.3705,31.1107,39.2,75,75,18.41,broken clouds
337,Semirom,IR,31.4167,51.5667,53.2,47,100,22.86,overcast clouds
338,Kalemie,CD,-5.9475,29.1947,76.75,73,60,3.44,light rain
339,Kutum,SD,14.2,24.6667,81.28,11,99,14.94,overcast clouds
340,Nautla,MX,20.2167,-96.7833,77.63,66,3,2.91,clear sky
341,Meadow Lake,US,34.8014,-106.5436,41.0,65,20,9.22,few clouds
342,Klaksvik,FO,62.2266,-6.589,39.2,65,75,21.85,broken clouds
343,Yubari,JP,43.0378,141.9578,37.99,69,40,9.22,scattered clouds
344,Gimli,CA,50.6336,-96.9907,23.0,86,77,4.56,broken clouds
345,Jiwani,PK,25.05,61.7417,79.05,75,100,14.81,overcast clouds
346,Nandi,IN,13.3855,77.6984,82.4,36,40,9.22,scattered clouds
347,Korla,CN,41.7597,86.1469,57.13,46,100,11.99,overcast clouds
348,Hun,LY,29.1268,15.9477,69.82,16,0,5.44,clear sky
