City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Muisne,EC,80.6,overcast clouds,0.6,-80.0333,Quinta Samay
466,Sibiti,CG,83.64,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
467,Sur,OM,82.18,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
468,Bosaso,SO,80.6,few clouds,11.2842,49.1816,Red Sea Hotel
473,Barahona,DO,82.4,few clouds,18.2085,-71.1008,Hotel Caribe
482,Koulamoutou,GA,80.6,scattered clouds,-1.1303,12.4736,Motel Bouenguidi
488,Kattivakkam,IN,84.2,scattered clouds,13.2167,80.3167,Raj's villa
489,San Andres,CO,84.2,few clouds,12.5847,-81.7006,Hotel Arena Blanca
491,Saint Augustine,US,82.0,haze,29.8947,-81.3145,St. George Inn
493,Sao Jose Da Coroa Grande,BR,83.37,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
494,Kota Bahru,MY,82.4,few clouds,6.1333,102.2386,Grand Riverview Hotel
496,Sokoni,TZ,86.0,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
499,Meulaboh,ID,76.12,moderate rain,4.1363,96.1285,Kost Pria
503,San Carlos Del Zulia,VE,76.62,overcast clouds,9.0,-71.9135,Hotel El Manantial
506,Pampierstad,ZA,79.61,broken clouds,-27.7832,24.6877,BAROLONG METHODIST CHURCH
510,Labuhan,ID,80.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
511,Mahanoro,MG,79.63,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
512,Puerto Del Rosario,ES,75.2,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
513,Guanare,VE,82.62,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
515,Buraydah,SA,75.2,clear sky,26.326,43.975,فندق راحة السلام
516,Paita,PE,82.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
518,Nabire,ID,75.74,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
522,Maragogi,BR,83.28,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
523,Nakhon Phanom,TH,87.73,broken clouds,17.3333,104.4167,ป่ายางรีสอร์ท
524,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
525,Lambarene,GA,82.4,overcast clouds,-0.7001,10.2406,Le Refuge
526,Bandar-E Lengeh,IR,87.8,overcast clouds,26.5579,54.8807,کافی نت پارس
534,Grand Gaube,MU,82.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
538,Poso,ID,82.0,heavy intensity rain,-1.3959,120.7524,Hotel 77 Poso
539,Port Keats,AU,81.45,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
541,Maxixe,MZ,80.6,light rain,-23.8597,35.3472,Oceano
543,Capinzal,BR,82.17,light rain,-27.3436,-51.6119,Hotel Baiolim
547,Mogadishu,SO,84.2,few clouds,2.0371,45.3438,Olympic Hotel
550,Nhamunda,BR,85.26,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
553,Negara,ID,78.48,overcast clouds,-8.3151,114.6025,Villa Maya West Bali
554,Ugoofaaru,MV,82.72,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
561,Pangkalanbuun,ID,75.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
562,Praia,CV,77.0,scattered clouds,14.9215,-23.5087,LT Aparthotel
564,Lubao,PH,82.4,broken clouds,14.9167,120.55,Hacienda Gracia
565,Port Blair,IN,82.72,light rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
567,Bonthe,SL,85.6,broken clouds,7.5264,-12.505,Bonthe Holiday Village
568,Gizo,SB,82.24,scattered clouds,-8.103,156.8419,Imagination Island
588,Maceio,BR,78.8,mist,-9.6658,-35.7353,Poutur Pousada
592,Chabahar,IR,78.75,broken clouds,25.2919,60.643,هتل گدروشیا
593,San Policarpo,PH,80.44,broken clouds,12.1791,125.5072,JM Lodge
602,Ibra,OM,84.85,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
605,Rio Grande,BR,77.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
607,Ransang,PH,79.38,clear sky,8.9603,117.5828,Black and Crystal Sand Campsite
612,Punta,PH,75.6,broken clouds,8.9897,125.34,Vyjannex boarding house
615,Maputo,MZ,84.2,few clouds,-25.9653,32.5892,Pestana Rovuma
617,Lazaro Cardenas,MX,76.95,clear sky,17.9583,-102.2,Hotel Quinta Antigua
